ACCE_ABSORB_COST	Custos da combinação: %d
AURA_TOOLTIP_NEXT	Novos
AURA_TOOLTIP_NOW	Actuais
AURA_TOOLTIP_RESOURCE	Consumíveis
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Não podes equipar isso enquanto a Auto-Caça está ativa.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Não podes ativar a Auto-Caça enquanto este item está equipado.
AUTO_HUNTING_OPTION_BOSS	Boss
AUTO_HUNTING_OPTION_KING	Nível 5
AUTO_HUNTING_OPTION_KNIGHT	Nível 3
AUTO_HUNTING_OPTION_PAWN	Nível 1
AUTO_HUNTING_OPTION_STONE	Pedra Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Nível 4
AUTO_HUNTING_OPTION_S_PAWN	Nível 2
AUTO_TOOLTIP_CLEAR	Reinicializar
AUTO_TOOLTIP_LINE1	Habilidades: Selecciona habilidades para combate e arrasta-as para os espaços. (Premium)
AUTO_TOOLTIP_LINE2	Dica: Podes alterar o intervalo de activação (em segundos) por baixo de cada habilidade.
AUTO_TOOLTIP_LINE3	Poções: Selecciona poções para combate e arrasta-as para os espaços. (Premium)
AUTO_TOOLTIP_LINE4	Dica: Poções de VD e MN serão activadas assim que a quantidade de cada um cair abaixo do valor em % mostrado sob cada poção.
AUTO_TOOLTIP_LINE5	Nota: o uso automático de habilidades, poções e ressuscitação pode ser ativado na Loja de Itens.
AUTO_TOOLTIP_LINE6	5. As poções e os itens selecionados são consumidos automaticamente após o reforço expirar sem ser apresentada a duração restante.
AUTO_TOOLTIP_LINE7	6. Usar a seta junto de Ataque permite-te determinar a força dos monstros que vais atacar (+/- níveis do que o teu).
AUTO_TOOLTIP_LINE8	7. Usar a seta junto de Foco permite-te determinar o raio de alcance para atacares monstros.
AUTO_TOOLTIP_TITLE	Ajuda de Auto-Caça
BATTLE_MAP_NAME_AREA_1	Zona 1
BATTLE_MAP_NAME_AREA_2	Zona 2
BATTLE_MAP_NAME_AREA_3	Zona 3
BATTLE_MAP_NAME_AREA_4	Zona 4
BATTLE_MAP_NAME_AREA_5	Zona 5
BATTLE_MAP_NAME_AREA_6	Zona 6
BATTLE_MAP_NAME_AREA_7	Zona 7
BATTLE_MAP_NAME_AREA_8	Zona 8
BATTLE_MAP_NAME_AREA_9	Zona 9
BATTLE_POINT	Pontos de Combate
BATTLE_ROYALE_ALIVE_COUNT	Sobreviventes: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Não podes abrir isso aqui.
BATTLE_ROYALE_KILL_COUNT	Adversários derrotados: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participar
BATTLE_ROYALE_MAINBUTTON_CANCEL	Cancelar
BATTLE_ROYALE_MAINBUTTON_EXIT	Sair
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Iniciar
BATTLE_ROYALE_NOTIFY_APPLICATED	Registaste-te na Battle Royale. Poderás entrar assim que existam participantes suficientes.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	O registo na Battle Royale foi encerrado.
BATTLE_ROYALE_NOTIFY_STARTABLE	Podes agora entrar na Battle Royale. Clica no botão do evento para participar.
BATTLE_ROYALE_NOTIFY_WINNER	Ganhaste.
BATTLE_ROYALE_PERSONAL_RANK	A Tua Posição: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Queres usar Resistência Infinita?
BATTLE_ROYALE_WHO_KILLED	Jogador que te matou: %s
BATTLE_ROYALE_WINNER_1	Ganhaste a Battle Royale!
BATTLE_ROYALE_WINNER_2	Serás transportado para a vila em breve.
BEAD	Animasfera
BEAD_TIME_REMAINING_TO_GET	Animasfera carregada dentro de: %d min.
BELT_RENEWAL_BANN_SIGN	Não é possível prosseguir.
BELT_RENEWAL_INVENTORY_FULL	Não há espaço suficiente no teu inventário.
BNW_COIN	Moeda de Vidente
BUTTON_TOOLTIP_GUILD_SHOP	Loja da Medalha de Coragem
BUY_LIMIT_LEVEL	Limite de compra: %s
CANNOT_ATTACK_DEST_IN_SAFE	O combatente está muito longe.
CANNOT_ATTACK_SELF_IN_SAFE	Não posso atacar.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Não podes fazer mais nada enquanto tens uma Loja Privada aberta.
CANNOT_EQUIP_IN_EXCHANGE	Não podes alterar o teu equipamento enquanto negoceias.
CANNOT_EQUIP_IN_SHOP	Não podes mudar o teu equipamento enquanto negoceias.
CANNOT_FISHING_RIDE_MOUNT	Não podes pescar enquanto montas.
CANNOT_FISHING_WHILE_POLY	Não podes pescar durante uma transformação.
CANNOT_ILLUSTRATIONPAGE_WARP	Não podes usar a funcionalidade de teleporte de uma Carta de Monstro aqui.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Não podes fazer isso enquanto te estás a mover.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Não podes abrir uma Loja Privada numa área pública.
CANNOT_POLY_STATUS	De momento, não te podes transformar.
CANNOT_PVP_MAP_MESSAGE	Não podes fazer isso nesta área.
CANNOT_SHOOT_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SHOOT_EMPTY_ARROW	Preciso de Flechas!
CANNOT_SHOOT_SELF_IN_SAFE	Não posso fazer isto.
CANNOT_SKILL_APPROACH	Tenho a certeza que não posso chegar mais perto.
CANNOT_SKILL_ATTACK	Não posso atacar.
CANNOT_SKILL_BLUE	Não podes usar a Alma do Lobo Anil quando a Alma do Lobo Rubro está activada.
CANNOT_SKILL_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Não podes pescar sem uma cana equipada.
CANNOT_SKILL_HAVE_TO_RIDE	Preciso de um Cavalo para usar isto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Não tenho uma Garrafa Vazia.
CANNOT_SKILL_NEED_POISON_BOTTLE	Não tenho uma Garrafa de Veneno.
CANNOT_SKILL_NEED_TARGET	Quem é o alvo?
CANNOT_SKILL_NOT_ENOUGH_HP	Não tenho VD suficiente!
CANNOT_SKILL_NOT_ENOUGH_SP	Não tenho MN suficiente!
CANNOT_SKILL_NOT_HORSE_SKILL	Não posso usar isto enquanto estou montado.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Não posso usar esta Habilidade com esta arma.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Não podes usar esta habilidade nesta montada.
CANNOT_SKILL_NOT_YET_LEARN	Não aprendi esta Habilidade.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Isto apenas afecta membros do grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Isto apenas afecta pessoas mortas.
CANNOT_SKILL_RED	Não podes usar a Alma do Lobo Rubro quando a Alma do Lobo Anil está activada.
CANNOT_SKILL_REMOVE_FISHING_ROD	Não posso usar esta Habilidade com uma Cana de Pesca.
CANNOT_SKILL_SELF_IN_SAFE	Não posso atacar daqui.
CANNOT_SKILL_USE_SELF	Não posso usar isto em mim mesmo.
CANNOT_SKILL_WAIT_COOLTIME	Ainda não posso usar esta Habilidade.
CANNOT_UNEQUIP_IN_BATTLE	Tens de permanecer imóvel para desequipar o item.
CANNOT_USE	Não podes usar isto.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Não podes usar o Feijão Zen porque não é possível reduzir mais o teu Karma negativo.
CANNOT_WHISPER_BLOCKED_TARGET	Primeiro, tens de remover %s da tua lista de bloqueados.	SA
CANNOT_WHISPER_DEST_REFUSE	%s bloqueou completamente o Segredar.	SA
CANNOT_WHISPER_NOT_LOGON	%s não está online.	SA
CANNOT_WHISPER_SELF_REFUSE	Não podes Segredar a alguém quando bloqueias completamente o Segredar.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s bloqueou-te.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Não podes adicionar várias Pedras Espíritas do mesmo tipo.
CANT_USE_MESSAGE_WHEN_EQUIP	Não podes usar isso num item equipado.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Recebeste Deck(s) do Rei.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Recebeste Cartas do Rei.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Não tens itens ou dinheiro suficiente para jogar.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Não podes receber mais Decks do Rei.
CATEGORY_ARMOR_ARMOR_BODY	Armadura
CATEGORY_ARMOR_ARMOR_GLOVE	Luvas
CATEGORY_ARMOR_ARMOR_HEAD	Elmos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Disfarces
CATEGORY_COSTUMES_AURA	Roupas da Aura
CATEGORY_COSTUMES_COSTUME_BODY	Disfarces
CATEGORY_COSTUMES_COSTUME_HAIR	Penteados
CATEGORY_COSTUMES_COSTUME_WEAPON	Skins de Arma
CATEGORY_COSTUMES_ETC	Outros
CATEGORY_COSTUMES_SASH	Faixas de Ombro
CATEGORY_DRAGON_STONE	Alquimia da Pedra do Dragão
CATEGORY_DRAGON_STONE_DEMON	Ametista
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granada
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubi
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safira
CATEGORY_DRAGON_STONE_ETC	Outros
CATEGORY_EQUIPMENT_ARMOR	Equipamento
CATEGORY_EQUIPMENT_JEWELRY	Joalharia
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Outros
CATEGORY_ETC_ALL	Tudo
CATEGORY_ETC_ETC	Outros
CATEGORY_ETC_EVENT	Itens de Evento
CATEGORY_ETC_GIFTBOX	Cofres | Caixas
CATEGORY_ETC_MATRIMORY	Casamento
CATEGORY_ETC_PARTI	Livros de Arte da Guerra
CATEGORY_ETC_POLYMORPH	Mármores do Polimorfismo
CATEGORY_ETC_RECIPE	Produção de Poções
CATEGORY_ETC_SEAL	Vinculação
CATEGORY_FISHING_PICK	Pesca | Mineração
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picaretas
CATEGORY_FISHING_PICK_ETC	Outros
CATEGORY_FISHING_PICK_FISHING_POLE	Canas de Pesca
CATEGORY_FISHING_PICK_FOOD	Peixes
CATEGORY_FISHING_PICK_PICK_BOOK	Guias de Mineração
CATEGORY_FISHING_PICK_STONE	Minérios
CATEGORY_JEWELRY_ARMOR_EAR	Brincos
CATEGORY_JEWELRY_ARMOR_FOOTS	Sapatos
CATEGORY_JEWELRY_ARMOR_NECK	Colares
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismã
CATEGORY_JEWELRY_ARMOR_WRIST	Braceletes
CATEGORY_JEWELRY_ITEM_BELT	Cintos
CATEGORY_MOUNT_PET	Montadas | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Ovos de Pet
CATEGORY_MOUNT_PET_FREE_PET	Pets Evoluíveis
CATEGORY_MOUNT_PET_MOUNT	Montadas
CATEGORY_POTION	Poções
CATEGORY_POTION_ABILITY	Consumíveis
CATEGORY_POTION_ETC	Outros
CATEGORY_POTION_HAIRDYE	Tintas de Cabelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Livros da Amnésia
CATEGORY_SKILL_ETC	Outros
CATEGORY_SKILL_HORSE_SKILL_BOOK	Livro de Habilidades de Cavalo
CATEGORY_SKILL_PAHAE	Guarda | Reforço
CATEGORY_SKILL_SKILL_BOOK	Livros de Habilidade
CATEGORY_SORT_LOWEST_ALL_PRICE	Preço total mais baixo
CATEGORY_SORT_LOWEST_COUNT	Quantidade (da mais baixa para a mais alta)
CATEGORY_SORT_LOWEST_PER_PRICE	Preço por unidade mais baixo
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Preço total mais alto
CATEGORY_SORT_MAXIMUN_COUNT	Quantidade (da mais alta para a mais baixa)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Preço por unidade mais alto
CATEGORY_SORT_RECENT	Novidades
CATEGORY_TUNING	Melhoramentos
CATEGORY_TUNING_ALCHEMY	Aumentar a probabilidade
CATEGORY_TUNING_ETC	Outros
CATEGORY_TUNING_RESOURCE	Materiais
CATEGORY_TUNING_STONE	Pedras Espíritas
CATEGORY_UNIQUE	Itens Especiais
CATEGORY_UNIQUE_ABILITY	Consumíveis
CATEGORY_UNIQUE_ETC	Outros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Campainhas
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Adagas
CATEGORY_WEAPON_WEAPON_FAN	Leques
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanças
CATEGORY_WEAPON_WEAPON_QUIVER	Aljavas
CATEGORY_WEAPON_WEAPON_SWORD	Armas de Uma Mão
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armas de Duas Mãos
CHANGE_ALREADY_REGISTER	[Transmutação] Este item já foi submetido.
CHANGE_LOOK_CHANGE_ITEM	Queres transmutar este item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutação] Por favor primeiro remove o item que pretendes transmutar.
CHANGE_LOOK_COST	Custo de Transmutação: %s Yang
CHANGE_LOOK_DEL_ITEM	O item absorvido será apagado.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutação] Este item não pode ser transmutado.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutação] Não podes transmutar um item enquanto está equipado.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutação] Não podes submeter este item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutação] O item está vinculado.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutação] Por favor submete o item que queres transmutar.
CHANGE_LOOK_INSERT_ITEM	[Transmutação] Tens de submeter o item primeiro.
CHANGE_LOOK_NEED_MONEY	O teu Yang ou itens não são suficientes.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutação] Esta acção não é possível enquanto a janela de Transmutação está aberta.
CHANGE_LOOK_TITLE	Transmutação
CHANGE_LOOK_TITLE2	Transformação de Montada
CHANGE_PET_PLEASE_APPEND_FIRST	O pet tem de ser seleccionado primeiro.
CHANGE_TOOLTIP2_LINE1	Adiciona o item alvo à esquerda e o material à direita.
CHANGE_TOOLTIP2_LINE2	Clica na caixa de marcação para usares Yang ou um Token de Transformação e alterares a aparência da tua montada.
CHANGE_TOOLTIP2_LINE3	Usar um Token de Transformação altera a aparência da tua montada sem custo de Yang (isto consome o Token).
CHANGE_TOOLTIP2_LINE4	Ao alterar a aparência de uma montada com duração, a duração da montada permanece inalterada.
CHANGE_TOOLTIP2_LINE5	Se a montada alvo for permanente e a montada usada como material tiver uma duração, a montada irá ficar com a aparência alterada pelo período de duração da montada usada como material.
CHANGE_TOOLTIP_LINE1	Coloca à esquerda o item que queres transmutar.
CHANGE_TOOLTIP_LINE2	Coloca o outro item no lado direito.
CHANGE_TOOLTIP_LINE3	A aparência do item do lado esquerdo será alterada
CHANGE_TOOLTIP_LINE4	assim que confirmares a transmutação (V) e pagares Yang.
CHANGE_TOOLTIP_LINE5	Usar este item permite-te
CHANGE_TOOLTIP_LINE6	transmutares o teu item sem gastares Yang.
CHANGE_TOOLTIP_TITLE	Transmutação
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Não podes voltar ao ecrã de login.
CHANNEL_EMPTY_SERVER	Sem servidores
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	O canal está cheio! Por favor escolhe outro.
CHANNEL_NOT_FIND_INFO	Não podes obter esta informação no Canal.
CHANNEL_PVP	Duelo livre
CHANNEL_SELECT_CHANNEL	Escolhe o Canal
CHANNEL_SELECT_REGION	Escolhe a região.
CHANNEL_SELECT_SERVER	Escolhe o Servidor
CHANNEL_STATUS_BUSY	Ocupado
CHANNEL_STATUS_FULL	Cheio
CHANNEL_STATUS_OFFLINE	Desconhecido
CHANNEL_STATUS_RECOMMENDED	Recomendados
CHANNEL_STATUS_VACANT	Baixo
CHANNEL_TEST_SERVER	Servidor de testes
CHANNEL_TEST_SERVER_ADDR	Teste %s:%d
CHARACTER_CREATE_MODE	Criar Personagem
CHARACTER_NAME	Nome
CHARACTER_SELECT_MODE	Seleccionar Personagem
CHARGE_BEAD_QUESTION	Animasferas necessárias: %d Queres continuar?
CHATTING_SETTING_ADD	Adicionar aba
CHATTING_SETTING_ADD_MAX	Não podes adicionar mais.
CHATTING_SETTING_CHANGE_TITLE_NAME	Queres gravar o nome deste chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	O nome do chat geral não pode ser alterado.
CHATTING_SETTING_CLEAR_QUESTION	Repor?
CHATTING_SETTING_DEL	Eliminar campo
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. Define uma mensagem para EXP obtida de monstros derrotados ou para EXP perdida.
CHATTING_SETTING_QUESTION_DESC_2	2. Define uma mensagem para espólios caídos e Yang obtido.
CHATTING_SETTING_RETURN	Recuperar campo
CHATTING_SETTING_SETTING	Definições
CHAT_ALL	Tudo
CHAT_BLOCK	Bloquear
CHAT_DICE_INFO	Lançar
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contém palavras inválidas.
CHAT_LOG	Mostrar mensagens antigas [L]
CHAT_LOG_TITLE	Mostrar Log
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	A tua sessão foi terminada porque a versão do teu cliente de jogo não corresponde à esperada. Atualiza-o e inicia sessão novamente.
CHAT_NORMAL	Normal
CHAT_NOTICE	Servidor
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar
CHAT_SEND_MEMO	Enviar Segredo [Shift+Enter]
CHAT_SHOUT	Chamar
CHAT_SHOUT_LIMIT	Só podes Chamar de 15 em 15 segundos.
CHAT_WHISPER	Segredo
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Não podes deixar cair dinheiro.
CHEQUE_SYSTEM_PICK_WON	Recebeste %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Preço de Venda]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won deduzido.
CLEAR_FLOOR	Nível
CLEAR_TIME	Tempo
CLICK_BEAD_DESCRIPTION	Precisas de Animasferas para entrar no Templo do Zodíaco. Visita o Teleportador na Vila para o fazeres.
ClosePetChangeWndButton	Fechar
COMB_ACCE_IS_CONTINUE_PROCESS	Queres continuar?
COMB_ACCE_WARNING_MESSAGE	A origem será destruída com um sucesso completo ou parcial. A transferência pode falhar. A taxa de absorção do item de destino será reduzida com um sucesso parcial ou falhanço.
COMB_ACCE_WARNING_MESSAGE1	A origem será destruída com um sucesso completo ou parcial.
COMB_ACCE_WARNING_MESSAGE2	A transferência pode falhar.
COMB_ACCE_WARNING_MESSAGE3	A taxa de absorção do item de destino será reduzida com um sucesso parcial ou falhanço.
COMB_ACCE_WILL_REMOVE_MATERIAL	A origem será destruída com um sucesso completo ou parcial.
COMB_ALREADY_APPEND	Este item já foi seleccionado.
COMB_CANT_APPEND_ITEM	Este item não pode ser usado.
COMB_CANT_APPEND_SEALED_ITEM	Não podes usar quaisquer itens vinculados.
COMB_CANT_BASE_ITEM	Uma Faixa que já tem um bónus não pode ser usada como destino.
COMB_CANT_MATCH_DRAINRATE	A taxa de absorção de ambos os itens tem de ser idêntica para uma transferência de bónus.
COMB_CANT_MATCH_GRADE	O grau de ambos os itens tem de ser idêntico para uma transferência de bónus.
COMB_CANT_MATERIAL_ITEM	O item de origem tem de ter um bónus.
COMB_COST	Preço: %s
COMB_IS_CONTINUE_PROCESS	Queres continuar?
COMB_NOTICE	Não podes abrir uma loja privada enquanto estás a trocar livros.
COMB_NOTICE_NOT_OPEN	Não podes trocar livros enquanto tens uma loja privada aberta.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Precisas de um item de origem e um de destino, além do item de transferência, para transferires bónus.
COMB_NOT_FULL_BOOK	Não, não podemos fazer negócio assim. Como já te disse, apenas aceito trocas se me ofereceres 10 livros.
COMB_NOT_ITEM_IN_INVENTORY	Não podes usar itens equipados.
COMB_NOT_MEDIUM_ITEM	Este item não pode ser usado.
COMB_WILL_REMOVE_MATERIAL	O item de origem será destruído com um sucesso.
COMMUNITY_ADD_BLOCK	Bloqueaste %s.
COMMUNITY_ADD_FRIEND	Adicionaste %s à tua lista de amigos.
COMMUNITY_ALREADY_BLOCKED	Já bloqueaste esta pessoa.
COMMUNITY_ALREADY_FRIEND	Já tens uma amizade com esta pessoa.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Já enviaste um pedido de amizade.
COMMUNITY_BLOCKED_ALREADY	Já bloqueaste %s.
COMMUNITY_BLOCKED_EXCHANGE	Negociar
COMMUNITY_BLOCKED_FRIEND_REQUEST	Pedido de amizade
COMMUNITY_BLOCKED_FUNCTION	Bloqueios:
COMMUNITY_BLOCKED_GUILD_INVITE	Convite de Guild
COMMUNITY_BLOCKED_PARTY_INVITE	Convite para grupo
COMMUNITY_BLOCKED_PARTY_JOIN	Entrar no grupo
COMMUNITY_BLOCKED_PARTY_WHISPER	Segredos
COMMUNITY_CANT_ACTION_TIMER	Tenta novamente mais tarde.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Não podes bloquear mais jogadores (máx. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Não podes ter mais amigos (máx. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Não podes ter uma amizade contigo.
COMMUNITY_CANT_ADD_GM	Não podes adicionar GM como amigos.
COMMUNITY_CANT_BLOCK_FAMILY	Não podes bloquear o teu esposo ou esposa.
COMMUNITY_CANT_BLOCK_FRIEND	Tens de eliminar a amizade com %s primeiro.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Não podes bloquear alguém a quem enviaste um pedido de amizade.
COMMUNITY_CANT_BLOCK_SELF	Não te podes bloquear-te a ti.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Não podes usar linguagem imprópria.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Remove o jogador da tua lista de bloqueios primeiro.
COMMUNITY_CANT_REQUEST_DUPLICATE	%s não pode adicionar amigos. Tenta novamente.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Não podes ter uma amizade contigo.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Não podes ter uma amizade com outra personagem da tua conta.
COMMUNITY_DELETE	Eliminar
COMMUNITY_DELETE_BLOCK	Removeste %s da tua lista de bloqueios.
COMMUNITY_DELETE_BLOCK_FIRST	Remove o jogador da tua lista de bloqueios primeiro.
COMMUNITY_DELETE_FRIEND	Removeste %s da tua lista de amigos.
COMMUNITY_DELETE_FRIEND_FIRST	Tens de eliminar a amizade com %s primeiro.
