ACCEPT	OK
BATTLE_FILED_RANK_NAME	Nome
BATTLE_FILED_RANK_POINT	Punti
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Partecipa
BATTLE_ROYALE_MAINBUTTON_RANKING	Classifica
BATTLE_ROYALE_RETURN_TO_TOWN	Torna al villaggio
BELT_INVENTORY_TITLE	Inventario Cinture
BNW_GAME_UI_COM	Avversario
BNW_RANK_UI_COUNT	Numero donazioni
BNW_RANK_UI_NAME	Nome
BNW_RANK_UI_RANK	Rango
CANCEL	Interrompi
CHANGE_ATTR_SELECT	Modifica bonus
CHANGE_PASSWORD_CONFIRM	Ripeti password
CHANGE_PASSWORD_NEW	Nuova password
CHANGE_PASSWORD_OLD	Vecchia password
CHANGE_PASSWORD_TITLE	Modifica password
CHARACTER_ACTION	Azioni
CHARACTER_EMOTICON	Emozioni
CHARACTER_MAIN	Personaggio
CHARACTER_MUTUAL_ACTION	Azioni interattive
CHARACTER_NORMAL_ACTION	Azioni normali
CHARACTER_QUEST	Missioni
CHARACTER_SKILL	Abilità
CHARACTER_SPECTIAL_ACTION	Azioni speciali
CHATTING_SETTING_CANCLE	Annulla
CHATTING_SETTING_CLEAR	Resetta
CHATTING_SETTING_DEFAULT_TITLE	Generale
CHATTING_SETTING_DETAIL	Impostazioni sistema
CHATTING_SETTING_DICE	Dado
CHATTING_SETTING_DICE_SETTING	Impostazioni dado
CHATTING_SETTING_EXP	Esperienza
CHATTING_SETTING_GOLD	Valuta
CHATTING_SETTING_GUILD	Gilda
CHATTING_SETTING_ITEM	Item
CHATTING_SETTING_LANGUAGE_1	Lingua 1
CHATTING_SETTING_LANGUAGE_2	Lingua 2
CHATTING_SETTING_LANGUAGE_3	Lingua 3
CHATTING_SETTING_LANGUAGE_CUR	Lingua impostata (%s)
CHATTING_SETTING_LANGUAGE_ONOFF	Filtri
CHATTING_SETTING_LIST	Lista
CHATTING_SETTING_NOTICE	Messaggio
CHATTING_SETTING_PARTY	Gruppo
CHATTING_SETTING_SAVE	Salva
CHATTING_SETTING_SHOUT	Chat chiama
CHATTING_SETTING_SYSTEM	Sistema
CHATTING_SETTING_TABNAME	Impostazioni nome della chat
CHATTING_SETTING_TALKING	Generale
CHATTING_SETTING_TITLE	Impostazioni chat
CHAT_FILTER	Filtro della chat
CHAT_FILTER_DICE	Dado
CLOSE	Chiudi
COMB_APPEARANCE	Destinazione
COMB_ATTRIBUTE	Originale
COMB_MAIN	Destinazione
COMB_MATERIAL	Originale
COMB_SKILLBOOK_TILE	Scambia libri
COMB_TITLE	
COMMUNITY_ACCEPT	Accetta
COMMUNITY_ADD_FAVORITE_QUESTION	Vuoi aggiungere ai preferiti?
COMMUNITY_AUTO_HUNT	Autocaccia usata
COMMUNITY_CHANNEL_INFO	Canale: %d
COMMUNITY_CONFIG_FAMILY_MEMBER_LOGIN_ALARM	Aggiungi avviso se il coniuge è online
COMMUNITY_CONFIG_FRIEND_MEMBER_LOGIN_ALARM	Aggiungi avviso se un amico è online
COMMUNITY_CONFIG_GUILD_MEMBER_LOGIN_ALARM	Aggiungi avviso se un membro della gilda è online
COMMUNITY_CONFIG_INCLUDE_FAMILY_MEMBER	Blocca anche dal coniuge
COMMUNITY_CONFIG_INCLUDE_FRIEND_MEMBER	Blocca anche dagli amici
COMMUNITY_CONFIG_INCLUDE_GUILD_MEMBER	Blocca anche dai membri della gilda
COMMUNITY_CONFIG_INIT	Resetta
COMMUNITY_CONFIG_INIT_QUESTION	Vuoi resettare le impostazioni?
COMMUNITY_CONFIG_LEVEL_INFO_SHOW	Seleziona per mostrare il tuo livello agli amici della Lista amici.
COMMUNITY_CONFIG_LOCATION_INFO_SHOW	Seleziona per mostrare la tua posizione agli amici nella Lista amici.
COMMUNITY_CONFIG_MAIN_BLOCK	Impostazioni blocco
COMMUNITY_CONFIG_MAIN_LOGIN_ALARM	Impostazioni avvisi online
COMMUNITY_CONFIG_MAIN_MY_INFO_ALARM	Impostazioni di notifica del profilo
COMMUNITY_CONFIG_OFF	OFF
COMMUNITY_CONFIG_ON	ON
COMMUNITY_CONFIG_QUESTION_SAVE	Vuoi salvare le modifiche?
COMMUNITY_CONFIG_SAVE	Salva
COMMUNITY_CONFIG_SUB_BLOCK_EXCHANGE	Blocca commercio (1 : 1)
COMMUNITY_CONFIG_SUB_BLOCK_FRIEND_REQUEST	Blocca richieste d'amicizia
COMMUNITY_CONFIG_SUB_BLOCK_GUILD_INVITE	Blocca inviti Gilda
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_INVITE	Blocca inviti Gruppo
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_REQUEST	Blocca richieste Gruppo
COMMUNITY_CONFIG_SUB_BLOCK_WHISPER	Blocca chat privata
COMMUNITY_CONFIG_SUB_LOGIN_ALARM	Avvisi online
COMMUNITY_CONFIG_SUB_MY_INFO_ALARM	Mostra profilo
COMMUNITY_CONNECT	Online
COMMUNITY_DELETE_FAVORITE_QUESTION	Vuoi rimuovere dai preferiti?
COMMUNITY_DISCONNECT	Offline
COMMUNITY_DISCONNECT_DIALOG	Apparirai offline agli altri in questo elenco.
COMMUNITY_ERROR	Sconosciuto
COMMUNITY_FAVORITE_BUTTON	Ai preferiti
COMMUNITY_GUILD_INFO	Info Gilda
COMMUNITY_HAS_NO_GUILD	Al momento non sei in una Gilda.
COMMUNITY_HAS_NO_GUILD_2	Vedi le Gilde disponibili.
COMMUNITY_LEFT_SEAT	AFK
COMMUNITY_LEFT_SEAT_DIALOG	Apparirai AFK agli altri in questo elenco.
Mentre sei AFK, potresti perdere messaggi e inviti di gruppo da altri giocatori.

COMMUNITY_MAIN_TAB_CONFIG	Impostazione
COMMUNITY_MAIN_TAB_FRIEND	Amico
COMMUNITY_MAIN_TAB_GUILD	Gilda
COMMUNITY_MAIN_TITLE	Community
COMMUNITY_MAP_INFO	Dove si trova: %s
COMMUNITY_MESSENGER_BLOCK_DELETE	Sblocca
COMMUNITY_MESSENGER_FRIEND_DELETE	Elimina
COMMUNITY_MESSENGER_SUB_TAB_BLOCK	Lista di blocco
COMMUNITY_MESSENGER_SUB_TAB_FRIEND	Lista amici
COMMUNITY_MESSENGER_SUB_TAB_GUILD_MEMBER	Membro della Gilda
COMMUNITY_MESSENGER_SUB_TAB_REQUEST	Richieste d'amicizia
COMMUNITY_MESSENGER_WHISPER	Chat privata
COMMUNITY_MOUSE_OVER_IN_STATUS_MESSAGE_BUTTON	Clicca per scrivere un messaggio.
COMMUNITY_MY_STATUS_MESSAGE	Messaggio di stato
COMMUNITY_NO_GUILD	Nessuna Gilda
COMMUNITY_PARTY_INVITE	Invito Gruppo
COMMUNITY_REFUSE	Rifiuta
COMMUNITY_SHOP_OPEN	Utilizzo negozio in corso
COMMUNITY_STATUS_MESSAGE_GUILD_TEXT	Puoi scrivere un messaggio qui.
COMMUNITY_TOOLTIP_LOVE_POINT	Punti amore: %d%%
COSTUME_TITLE	Costumi
COSTUME_WINDOW_TITLE	Costumi
CRAFT_INTEGRATE_BUTTON_CANCEL	Annulla
CRAFT_INTEGRATE_BUTTON_RUN	Esegui
CRAFT_INTEGRATE_FAIL_COUNT	Numero di fallimenti
CRAFT_INTEGRATE_NEED_MATERIAL_TITLE_BAR	Materiali necessari
CRAFT_INTEGRATE_SUCCESS_COUNT	Numero di successi
CRAFT_INTEGRATE_TRY_COUNT	Numero di tentativi
CREATE_ATT_GRADE	STR
CREATE_CREATE	Imposta
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punti
CREATE_MAN	Uomo
CREATE_NAME	Nome
CREATE_NEXT	Avanti
CREATE_PREV	Indietro
CREATE_SEX	Sesso
CREATE_SHAPE	Aspetto
CREATE_SP	INT
CREATE_STAT_RESET	Indietro
CREATE_WOMAN	Donna
CUBE_INFO_TITLE	Manuale della rifinitura
CUBE_RENEWAL_BELT_IMPROVE	Aumenta chance
CUBE_RENEWAL_TITLE	Raffinamento
CUBE_REQUIRE_MATERIAL	Materiali necessari
CUBE_REQUIRE_MATERIAL_OR	oppure
CUBE_TITLE	Finestra del raffinamento
CURRENT_POINT	Punteggio attuale: %s
CZ_REWARD_WINDOW_TITLE	Tempio dello Zodiaco
DO_CHANGE_ATTR	Applica
DO_REFINE	Raffinamento
DRAGONSOUL_ACTIVATE	Attiva
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Modifica del bonus per Pietre del drago mitiche
DRAGONSOUL_PAGE_BUTTON_1	Grezzo
DRAGONSOUL_PAGE_BUTTON_2	Tagliato
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antico
DRAGONSOUL_PAGE_BUTTON_5	Leggendario
DRAGONSOUL_PAGE_BUTTON_6	Mitico
DRAGONSOUL_REFINE_WINDOW_TITLE	Finestra del raffinamento
DRAGONSOUL_TAP_TITLE_1	Diamante del drago
DRAGONSOUL_TAP_TITLE_2	Rubino del drago
DRAGONSOUL_TAP_TITLE_3	Giada del drago
DRAGONSOUL_TAP_TITLE_4	Zaffiro del drago
DRAGONSOUL_TAP_TITLE_5	Granato del drago
DRAGONSOUL_TAP_TITLE_6	Onice del drago
DRAGONSOUL_TAP_TITLE_7	Ametista del drago
DRAGONSOUL_TITLE	Alchimia delle Pietre del drago
DRAGON_GATE_AUTO_REINFORCE_TEXT	
DRAGON_GATE_BASE_NAME	
DRAGON_GATE_NAME	
DRAGON_GATE_REINFORCE_TEXT	
DRAGON_GATE_SIDE_NAME	
DRAGON_GATE_SIDE_NAME_BY_INDEX	
DUTCHAUCTION_BUTTON	Vai!
DUTCHAUCTION_TITLE	SALE
EASTER_EGG_NOT_HAS_YET	Questo uovo non è stato ancora raccolto.
EASTER_EGG_RECEIVE_REWARD_BUTTON	Ho trovato un uovo!
EASTER_EGG_TITLE	Pasqua
EASTER_EGG_TOTAL_COUNT	Uova pasquali totali
EMPIRE_A	Shinsoo
EMPIRE_ALL	Tutti
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Fine
EMPIRE_NEXT	Avanti
EMPIRE_PREV	Indietro
EMPIRE_SELECT	Scegli
END_TIME	Evento in corso
ENTER_BATTLE_FIELD	Entra
EQUIPMENT_SLOT_1	Pagina equipaggiamento (1)
EQUIPMENT_SLOT_2	Pagina equipaggiamento (2)
EVENT_ALARM_TITLE	Riepilogo dell'evento
EVENT_NAME_TITLE	Nome
EVENT_REWARD_CHECK	Controlla
EVENT_REWARD_LIST_TITLE	Ricompensa
EVENT_REWARD_TITLE	Ricompensa
EXCHANGE_ACCEPT	Accetta
EXCHANGE_TITLE	Commercio
EXIT_BATTLE_FIELD	Vuoi davvero uscire dalla zona di combattimento?
EXIT_BATTLE_FIELD_ON_DEAD	Vuoi lasciare la Zona di Combattimento con %d punto/i?
EXPIRED_TIME	L'evento è terminato.
FISHING_RENEWAL_TITLE	Pesca
FLOWER_EVENT_EXCHANGE_BUTTON_TEXT	Scambia
FLOWER_EVENT_SHOOT_CHRYSANTHEMUM_TEXT	Germogli di crisantemo
FLOWER_EVENT_SHOOT_DAFFODIL_TEXT	Germogli di narciso
FLOWER_EVENT_SHOOT_LILY_TEXT	Germogli di giglio
FLOWER_EVENT_SHOOT_MAY_BELL_TEXT	Germogli di mughetto
FLOWER_EVENT_SHOOT_SUNFLOWER_TEXT	Germogli di girasole
FLOWER_EVENT_TITLE	Germogli presenti nell'inventario
FOOTBALL_EVENT_TITLE	Evento "Speciale Calcio"
FOOTBALL_USE_BUTTON	Utilizza
FORCE_EVENT_FORCE_MENU_TYPE	Echi
FORCE_EVENT_FORCE_PLAY_TIME	Tempo gioco
FORCE_EVENT_TITLE	Echi del potere
FRAGMENT_COMB_TITLE	Combina Libri delle abilità
GAMEOPTION_TITLE	Opzioni
GAME_EXIT_OBSERVER	Termina modalità spettatore
GAME_GUILD_WAR_JOIN	Partecipa alla guerra tra gilde
GAME_HELP	Aiuto
GAME_OPTION_GAME	Opzioni di gioco
GAME_OPTION_GAME_HP_BAR	Barra HP
GAME_OPTION_GAME_MONSTER_NAME	Nome mostro
GAME_OPTION_INIT	Resetta
GAME_OPTION_KEY	Assegnazione tasti
GAME_OPTION_KEYSETTING_CAMERA	Videocamera
GAME_OPTION_KEYSETTING_EMOTION	Emozioni
GAME_OPTION_KEYSETTING_ETC	Altro
GAME_OPTION_KEYSETTING_MOUNT	Cavalcature
GAME_OPTION_LOOTING	Opzioni bottino
GAME_OPTION_PLAYER_TITLE	Titolo
GAME_OPTION_SHOW	Visualizza
GAME_OPTION_SYSTEM	Opzioni di sistema
GAME_QUEST	Rinuncia
GAME_SKILL_UP	Aumenta abilità.
GAME_STAT_UP	Aumenta status
GEMSHOP_LEFTTIME	Tempo rimanente
GEMSHOP_TITLA	NEGOZIO DI GAYA
GOLDEN_LAND_EVENT_POSSESSION_COUNT	Quantità
GOLDEN_LAND_EVENT_TITLE	Spedizione Primordium
GOLDEN_LAND_EVENT_TREE_FRUIT_TOOLTIP	Dal Carovaniere, puoi scambiare le Bacche amare con le Bacche d'oro trovate nei vari livelli.
GOLDEN_LAND_EVENT_YELLOW_FRUIT_TOOLTIP	Dal Carovaniere, puoi scambiare le Bacche amare con le Bacche d'oro trovate nei vari livelli.
GOLDEN_LAND_FIND_GOLDEN_FRUIT_FIND_CARD	Scopri caselle
GOLDEN_LAND_FIND_GOLDEN_FRUIT_NEED_YELLOW_FRUIT_COUNT	Bacche d'oro necessarie:
GOLDEN_LAND_FIND_GOLDEN_FRUIT_REWARD	Ricompensa
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TITLE	Caccia alle Bacche d'oro
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TOOLTIP_RESET	Resetta
GOLDEN_LAND_FIND_GOLDEN_FRUIT_YELLOW_FRUIT_COUNT	Bacche d'oro in tuo possesso:
GOLDEN_LAND_STAGE_EXIT_BUTTON	Esci
GOLDEN_LAND_STAGE_EXIT_QUESTION	Vuoi davvero arrenderti? Verrai teletrasportato alla Terra d'Oro.
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_1	Livello 1
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_2	Livello 2
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_3	Livello 3
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_4	Livello 4 (oasi)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_5	Livello 5
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_6	Livello 6
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_7	Livello 7
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_8	Livello 8 (oasi)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_9	Livello 9
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_10	Livello 10
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_11	Livello 11
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_12	Livello 12
GOLDEN_LAND_STAGE_REMAIN_TIME	%d minuti
GOLDEN_LAND_STAGE_REMAIN_TIME_1M	Meno di 1 minuto
GRADE	Classe
GRADE_SELECT	Classe
GRAPHICONOFF_DROP_ITEM_APPLY	Usa
GRAPHICONOFF_DROP_ITEM_LEVEL	Drop di item
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Mostra effetto e nome
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Nascondi effetto
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Nascondi effetto e nome
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Nascondi item, nome al passaggio del mouse
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Non mostrare item e nome
GRAPHICONOFF_EFFECT_APPLY	Usa
GRAPHICONOFF_EFFECT_LEVEL	Effetti
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Mostra tutto
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Solo effetti propri e dei mostri
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Solo effetti propri e degli altri giocatori
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Solo i propri
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Non mostrare nulla
GRAPHICONOFF_NPC_NAME_STATUS	Nomi NPC
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Off
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Nascondi nomi NPC
GRAPHICONOFF_NPC_NAME_STATUS_ON	On
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Mostra nomi NPC
GRAPHICONOFF_PET_STATUS	Pet
GRAPHICONOFF_PET_STATUS_OFF	Off
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Nascondi pet
GRAPHICONOFF_PET_STATUS_ON	On
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Mostra pet
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Usa
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Negozi privati
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Mostra tutto
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Mostra tutti (visuale ampia)
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Mostra tutti (visuale media)
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Mostra tutti (visuale ristretta)
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Mostra tutti (immediate vicinanze)
GUILDWINDOW_BASE_BUFF	Vantaggi della gilda
GUILD_ATTENDANCE_LOCA1	Prima partecipazione: 1 Medaglia del coraggio
GUILD_ATTENDANCE_LOCA2	10 o più: 1 Medaglia del coraggio
GUILD_ATTENDANCE_LOCA3	20 o più: 2x Medaglia del coraggio
GUILD_ATTENDANCE_LOCA4	30 o più: 4x Medaglia del coraggio
GUILD_ATTENDANCE_LOCA5	40 o più: 6x Medaglia del coraggio
GUILD_ATTENDANCE_LOCA6	50 o più: 8x Medaglia del coraggio
GUILD_ATTENDANCE_LOCA7	60 o più: 10x Medaglia del coraggio
GUILD_ATTENDANCE_LOCA8	70 o più: 12x Medaglia del coraggio
GUILD_ATTENDANCE_LOCA9	Si può partecipare giornalmente a partire dalle ore 05:00
GUILD_ATTENDANCE_TITLE	Ricompensa per la partecipazione
GUILD_BANKINFO_CLOSE	Chiudi
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TITLE	Log Magazzino della Gilda
GUILD_BANKINFO_TYPE	Oggetto/Valuta
GUILD_BANKINFO_USETYPE	Offerta
GUILD_BANK_CLOSE	Chiudi
GUILD_BANK_INFO	Sez. magaz.:
GUILD_BASEINFO_BANK	Magazzino Gilda
GUILD_BASEINFO_BANKLASTOUT	Riscos. ult. item
GUILD_BASEINFO_BUILDING	Edificio Gilda
GUILD_BASEINFO_BUILDING_LEVEL	Livello per edificio
GUILD_BASEINFO_FACILITY	Miglioramento
GUILD_BASEINFO_FACTORY	Armaiolo
GUILD_BASEINFO_GUILDLAND	Terreno della gilda
GUILD_BASEINFO_LANDSCAPE	Varie
GUILD_BASEINFO_LOCALE	Posizione
GUILD_BASEINFO_MONEY	Saldo
GUILD_BASEINFO_MONEYBANKINFO	Informazioni banca gilda
GUILD_BASEINFO_MONEYLASTOUT	Ultimo prelievo
GUILD_BASEINFO_POWER	Altare della Forza
GUILD_BASEINFO_SMEITER	Alchimista della gilda
GUILD_BASEINFO_SMELTER	Raffinamento
GUILD_BASEINFO_SPECIAL	Altari
GUILD_BASEINFO_TITLE	Informazioni terreno
GUILD_BASENAME	Nome base
GUILD_BATTLE_AREA_MOVE_BUTTON	Teletrasporto
GUILD_BATTLE_RANK_BOARD	Classifica
GUILD_BATTLE_RANK_BOARD_MOB_KILL	Uccisioni\nMOB
GUILD_BATTLE_RANK_BOARD_NAME	Nome
GUILD_BATTLE_RANK_BOARD_PC_DEAD	Morti\nPersonaggio del giocatore
GUILD_BATTLE_RANK_BOARD_PC_KILL	Uccisioni\nPersonaggio del giocatore
GUILD_BATTLE_RANK_BOARD_RANK	Posto
GUILD_BATTLE_RANK_BOARD_TEAM	Team
GUILD_BATTLE_RESULT_BOARD	Risultati Scontro tra gilde
GUILD_BATTLE_RESULT_BOARD_EXIT	Esci
GUILD_BATTLE_RESULT_BOARD_RANKING	Rango
GUILD_BATTLE_STATUS_BOARD	Classifica
GUILD_BOARD_ID	Nome
GUILD_BOARD_REFRESH	Aggiorna
GUILD_BOARD_TEXT	Messaggio
GUILD_BUILDING_CATEGORY_TITLE	Unità di costruzione
GUILD_BUILDING_CHANGE	Cambia
GUILD_BUILDING_CHANGE_DELETE	Cancella
GUILD_BUILDING_CHANGE_FIX	Modifiche gilda
GUILD_BUILDING_CHANGE_LIST	Lista oggetti gilda
GUILD_BUILDING_DIRECTION	Orientamento
GUILD_BUILDING_DONATE_NORMAL_BUTTON_TEXT	Biglietto per la costruzione
GUILD_BUILDING_DONATE_NORMAL_TITLE	Normale
GUILD_BUILDING_DONATE_PLUS_BUTTON_TEXT	Bigl. sp. costr.
GUILD_BUILDING_DONATE_PLUS_TITLE	Plus
GUILD_BUILDING_DONATE_WINDOW_TITLE	Investi EXP costruzione (%s)
GUILD_BUILDING_FIX	Modifica
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_INFO	Info edifici e costi
GUILD_BUILDING_LANDSCAPE_WINDOW_TITLE	Paesaggio
GUILD_BUILDING_LIST_TITLE	Lista edifici
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nome edificio
GUILD_BUILDING_OPERATE	Uso
GUILD_BUILDING_PLY	Compensato
GUILD_BUILDING_POSITION	Posizione
GUILD_BUILDING_PREVIEW	Anteprima
GUILD_BUILDING_PRICE	Prezzo
GUILD_BUILDING_REFRESH	Aggiorna
GUILD_BUILDING_SPECIAL_BUFF_LEVEL_1	Slot 1
GUILD_BUILDING_SPECIAL_BUFF_LEVEL_2	Slot 2
GUILD_BUILDING_SPECIAL_BUFF_LEVEL_3	Slot 3
GUILD_BUILDING_SPECIAL_BUFF_MATERIAL_TITLE	Materiali necessari
GUILD_BUILDING_SPECIAL_BUFF_NAME_TITLE	Buff
GUILD_BUILDING_SPECIAL_BUFF_REROLL_TITLE	Costi di cambio
GUILD_BUILDING_SPECIAL_BUFF_TIME_TITLE	Tempo
GUILD_BUILDING_SPECIAL_BUFF_TITLE	Livello Altare
GUILD_BUILDING_SPECIAL_BUFF_UI_TITLE	Bonus altari
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_1	Slot 1
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_2	Slot 2
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_3	Slot 3
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_TITLE	Livello
